,id,pickup_datetime,dropoff_datetime,trip_duration,origin,destination,status,dist,treq,ttrav,pax_id,VoT,delta,u,u_PT,ride_id,ttrav_sh,u_sh,kind,position
0,id0190469,2016-01-01 00:00:17,2016-01-01 00:14:26,849,42427352,42438018,0,14340,0,2390,id0190469,0.0046,915.1222480362871,32.504000000000005,999999,1738,2848,31.476632747999997,50,0
1,id1210365,2016-01-01 00:01:01,2016-01-01 00:07:49,408,42432756,42434113,0,2640,44,440,id1210365,0.0046,168.47438875981854,5.984,999999,1,440,5.984,1,0
2,id3888279,2016-01-01 00:01:14,2016-01-01 00:05:54,280,42445649,4461990857,0,1067,57,177,id3888279,0.0046,68.19888701471706,2.4147,999999,2,177,2.4147,1,0
3,id0924227,2016-01-01 00:01:20,2016-01-01 00:13:36,736,4862610026,42428212,0,2905,63,484,id0924227,0.0046,185.40707467034025,6.5839,999999,342,575,6.460339295999999,20,0
4,id2294362,2016-01-01 00:01:33,2016-01-01 00:13:25,712,42442415,42449634,0,9301,76,1550,id2294362,0.0046,593.5745710748098,21.0815,999999,1569,1871,19.885463591999997,42,1
5,id1078247,2016-01-01 00:01:37,2016-01-01 00:03:31,114,5706568771,42440951,0,330,80,55,id1078247,0.0046,21.059298594977317,0.748,999999,5,55,0.748,1,0
6,id3609443,2016-01-01 00:01:47,2016-01-01 00:21:51,1204,42435645,42438247,0,7978,90,1329,id3609443,0.0046,509.2102214604295,18.0804,999999,1569,1514,16.685693423999997,42,0
7,id2914314,2016-01-01 00:02:06,2016-01-01 00:23:56,1310,42437283,42438928,0,10070,109,1678,id2914314,0.0046,642.6705493849333,22.8238,999999,1738,1935,21.598223675999996,50,1
8,id3675972,2016-01-01 00:02:45,2016-01-01 00:10:10,445,42430265,42427390,0,1317,148,219,id3675972,0.0046,84.11003914543828,2.9829,999999,8,219,2.9829,1,0
9,id0566105,2016-01-01 00:03:31,2016-01-01 00:26:35,1384,42436159,42431674,0,5765,194,960,id0566105,0.0046,368.006719739576,13.063500000000001,999999,1116,1045,11.588046635999998,32,0
10,id3968582,2016-01-01 00:04:42,2016-01-01 00:22:33,1071,42427371,42445027,0,3530,265,588,id3968582,0.0046,225.3135408662917,7.9998000000000005,999999,991,588,7.813387728,21,1
11,id3266337,2016-01-01 00:04:57,2016-01-01 00:08:37,220,42435328,42437918,0,1353,280,225,id3266337,0.0046,86.40741717398123,3.0645,999999,11,225,3.0645,1,0
12,id2563820,2016-01-01 00:05:07,2016-01-01 00:09:54,287,42431661,42455693,0,1462,290,243,id2563820,0.0046,93.38479829415002,3.3108,999999,12,243,3.3108,1,0
13,id0400882,2016-01-01 00:05:08,2016-01-01 00:23:01,1073,42436913,42429212,0,11151,291,1858,id0400882,0.0046,711.6771372757626,25.2733,999999,1634,2111,24.361776071999998,41,1
14,id3956309,2016-01-01 00:05:35,2016-01-01 00:17:43,728,42430295,42450025,0,4877,318,812,id3956309,0.0046,311.3380617021825,11.050699999999999,999999,1116,813,10.370592731999999,32,2
15,id0460928,2016-01-01 00:05:39,2016-01-01 00:13:27,468,42448563,42432171,0,1672,322,278,id0460928,0.0046,106.78617012731742,3.7868,999999,15,278,3.7868,1,0
16,id3900441,2016-01-01 00:06:04,2016-01-01 00:15:52,588,42437050,42430068,0,3089,347,514,id3900441,0.0046,197.2349529512145,6.9979,999999,300,529,6.975544631999999,20,0
17,id1904457,2016-01-01 00:06:22,2016-01-01 00:33:00,1598,42434072,4679523598,0,3552,365,592,id1904457,0.0046,226.67463214957405,8.0512,999999,308,651,7.781060579999999,20,0
18,id1864422,2016-01-01 00:06:24,2016-01-01 00:31:36,1512,42439840,42429338,0,6269,367,1044,id1864422,0.0046,400.17001213917774,14.2059,999999,1116,1059,13.104377747999997,32,1
19,id0275133,2016-01-01 00:06:47,2016-01-01 00:16:55,608,42437654,42431822,0,3500,390,583,id0275133,0.0046,223.39905917583923,7.9318,999999,308,610,7.5892124039999995,20,1
20,id2162784,2016-01-01 00:06:59,2016-01-01 00:11:26,267,42440743,42437096,0,1613,402,268,id2162784,0.0046,103.04245378095226,3.6523000000000003,999999,20,268,3.6523000000000003,1,0
21,id1323694,2016-01-01 00:07:04,2016-01-01 00:14:30,446,42437686,589100164,0,2104,407,350,id1323694,0.0046,134.35470646983316,4.766,999999,519,385,4.695503496,20,1
22,id1004094,2016-01-01 00:07:07,2016-01-01 00:17:04,597,42439406,42430367,0,3496,410,582,id1004094,0.0046,223.1866569068284,7.9212,999999,300,581,7.756572623999999,20,1
23,id1560712,2016-01-01 00:07:22,2016-01-01 00:18:21,659,42431037,42428039,0,3274,425,545,id1560712,0.0046,209.01949239748006,7.417999999999999,999999,211,545,7.006152576,20,1
24,id2041977,2016-01-01 00:07:27,2016-01-01 00:13:50,383,42445649,42440325,0,1775,430,295,id2041977,0.0046,113.38065490939564,4.0195,999999,519,310,3.8749636559999994,20,0
25,id2660288,2016-01-01 00:07:29,2016-01-01 00:16:03,514,42429766,42442881,0,2163,432,360,id2660288,0.0046,138.09842281619834,4.9005,999999,25,360,4.9005,1,0
26,id0760413,2016-01-01 00:07:34,2016-01-01 00:19:12,698,42430378,42442469,0,2716,437,452,id0760413,0.0046,173.4101329550638,6.1532,999999,26,452,6.1532,1,0
27,id1436179,2016-01-01 00:07:47,2016-01-01 00:17:50,603,42440729,42436531,0,4175,450,695,id1436179,0.0046,266.5391901455944,9.4595,999999,753,712,8.342832,21,0
28,id1019488,2016-01-01 00:08:07,2016-01-01 00:22:14,847,42445661,42436359,0,4463,470,743,id1019488,0.0046,284.9182143739383,10.1123,999999,342,795,9.336751656,20,1
29,id1781008,2016-01-01 00:08:09,2016-01-01 00:30:00,1311,42436935,42454042,0,4585,472,764,id1781008,0.0046,292.6180493356794,10.3919,999999,991,835,10.304177039999999,21,0
30,id2270359,2016-01-01 00:08:15,2016-01-01 00:09:42,87,42440743,387184869,0,617,478,102,id2270359,0.0046,39.48166165792979,1.3947,999999,753,102,1.3076969999999999,21,1
31,id1043337,2016-01-01 00:08:29,2016-01-01 00:19:54,685,42428253,42444909,0,2267,492,377,id1043337,0.0046,144.77815463281638,5.1347000000000005,999999,208,392,4.644944903999999,20,0
32,id0489547,2016-01-01 00:08:37,2016-01-01 00:12:41,244,42452365,42445039,0,1159,500,193,id0489547,0.0046,73.9842402860057,2.6263,999999,889,193,2.375641332,21,1
33,id3016902,2016-01-01 00:08:38,2016-01-01 00:15:10,392,42454433,42442463,0,2901,501,483,id3016902,0.0046,185.1946724013294,6.5733,999999,889,617,6.5221239959999995,21,0
34,id3453922,2016-01-01 00:08:40,2016-01-01 00:15:35,415,1773078006,42442870,0,1378,503,229,id3453922,0.0046,88.02424956088305,3.1204,999999,34,229,3.1204,1,0
35,id0967740,2016-01-01 00:08:46,2016-01-01 00:19:09,623,42430352,42443613,0,1264,509,210,id0967740,0.0046,80.74921913716364,2.862,999999,35,210,2.862,1,0
36,id1014156,2016-01-01 00:08:47,2016-01-01 00:12:37,230,42457728,42436848,0,729,510,121,id1014156,0.0046,46.58619801256958,1.6501,999999,36,121,1.6501,1,0
37,id0502742,2016-01-01 00:08:49,2016-01-01 00:19:31,642,42443353,761293063,0,6395,512,1065,id0502742,0.0046,408.21083523907816,14.491499999999998,999999,1569,1178,13.033444871999999,42,2
38,id3619619,2016-01-01 00:08:52,2016-01-01 00:12:42,230,42424225,42443366,0,1579,515,263,id3619619,0.0046,100.78698395234046,3.5783,999999,38,263,3.5783,1,0
39,id3554494,2016-01-01 00:08:53,2016-01-01 00:15:19,386,42436705,42449963,0,389,516,64,id3554494,0.0046,24.93160081049092,0.8779,999999,39,64,0.8779,1,0
40,id1276140,2016-01-01 00:09:01,2016-01-01 00:16:24,443,42456683,42455932,0,2424,524,404,id1276140,0.0046,154.69012058856072,5.494400000000001,999999,40,404,5.494400000000001,1,0
41,id3512166,2016-01-01 00:09:01,2016-01-01 00:19:32,631,42428065,42435516,0,3121,524,520,id3512166,0.0046,199.19134284159816,7.073499999999999,999999,211,577,6.935241767999999,20,0
42,id2336715,2016-01-01 00:09:03,2016-01-01 00:19:25,622,42434946,5161246307,0,4146,526,691,id2336715,0.0046,264.5813696205333,9.3976,999999,1011,715,8.610632843999998,21,0
43,id0672409,2016-01-01 00:09:09,2016-01-01 00:21:17,728,42439170,42451674,0,1490,532,248,id0672409,0.0046,95.12878591552284,3.3758,999999,299,262,3.10854198,20,0
44,id2280748,2016-01-01 00:09:36,2016-01-01 00:10:46,70,42437305,42438043,0,685,559,114,id2280748,0.0046,43.735429576856454,1.5519,999999,44,114,1.5519,1,0
45,id0441132,2016-01-01 00:10:25,2016-01-01 00:16:30,365,42436159,42439286,0,705,608,117,id0441132,0.0046,45.05461266020759,1.5957000000000001,999999,45,117,1.5957000000000001,1,0
46,id1234112,2016-01-01 00:10:25,2016-01-01 00:18:47,502,42432060,42440270,0,2427,608,404,id1234112,0.0046,154.9458616921802,5.4989,999999,46,404,5.4989,1,0
47,id3933480,2016-01-01 00:10:26,2016-01-01 00:13:51,205,42442933,42449928,0,699,609,116,id3933480,0.0046,44.67171632211709,1.5821,999999,47,116,1.5821,1,0
48,id3420186,2016-01-01 00:10:47,2016-01-01 00:19:14,507,42438174,42430295,0,1652,630,275,id3420186,0.0046,105.46698704396627,3.7430000000000003,999999,299,274,3.4211689319999996,20,1
49,id2664946,2016-01-01 00:10:53,2016-01-01 00:16:56,363,42450044,6176628861,0,5338,636,889,id2664946,0.0046,340.73583270061096,12.0964,999999,1126,952,11.931513035999998,32,0
50,id2100728,2016-01-01 00:11:17,2016-01-01 00:15:08,231,42437021,42449918,0,1084,660,180,id2100728,0.0046,69.26232899444872,2.4539999999999997,999999,50,180,2.4539999999999997,1,0
51,id3852699,2016-01-01 00:11:22,2016-01-01 00:27:47,985,1692433935,42446933,0,3162,665,527,id3852699,0.0046,201.7863701736918,7.1672,999999,1169,622,6.875355636,32,0
52,id1006852,2016-01-01 00:11:33,2016-01-01 00:31:39,1206,42443680,247120300,0,3806,676,634,id1006852,0.0046,242.92677241845462,8.625399999999999,999999,997,700,7.833970151999999,21,0
53,id0880957,2016-01-01 00:11:41,2016-01-01 00:15:14,213,42443353,42431019,0,1107,684,184,id0880957,0.0046,70.70866731227089,2.5069,999999,53,184,2.5069,1,0
54,id0987539,2016-01-01 00:11:46,2016-01-01 00:19:40,474,42421728,42443819,0,2444,689,407,id0987539,0.0046,156.00930367191182,5.5382,999999,54,407,5.5382,1,0
55,id2330529,2016-01-01 00:11:48,2016-01-01 00:16:40,292,42436944,42455412,0,1069,691,178,id2330529,0.0046,68.24079521464826,2.4223,999999,55,178,2.4223,1,0
56,id1294759,2016-01-01 00:11:49,2016-01-01 00:27:46,957,42427477,42427236,0,4456,692,742,id1294759,0.0046,284.45007100130795,10.0972,999999,208,742,8.870148143999998,20,1
57,id1035006,2016-01-01 00:11:56,2016-01-01 00:20:40,524,561035359,42436807,0,2789,699,464,id1035006,0.0046,178.09013604668968,6.3179,999999,57,464,6.3179,1,0
58,id2418487,2016-01-01 00:12:00,2016-01-01 00:20:09,489,42430231,42440737,0,1852,703,308,id2418487,0.0046,118.27306027003229,4.1948,999999,359,375,4.021798356,20,0
59,id1635064,2016-01-01 00:12:03,2016-01-01 00:19:57,474,42434352,42432184,0,1820,706,303,id1635064,0.0046,116.18808451050018,4.1238,999999,1011,303,3.914295492,21,1
60,id3734778,2016-01-01 00:12:14,2016-01-01 00:40:56,1722,42439960,42437580,0,4615,717,769,id3734778,0.0046,294.5325310261319,10.459900000000001,999999,1401,939,10.30928316,32,0
61,id3914876,2016-01-01 00:12:42,2016-01-01 00:17:53,311,42430265,42434352,0,1392,745,232,id3914876,0.0046,88.83195043699524,3.1552,999999,61,232,3.1552,1,0
62,id2633378,2016-01-01 00:12:51,2016-01-01 00:23:49,658,42435644,42421877,0,2695,754,449,id2633378,0.0046,172.00570283717286,6.107900000000001,999999,1401,486,5.7066829199999995,32,1
63,id2612636,2016-01-01 00:12:53,2016-01-01 00:33:04,1211,42426747,42454042,0,7734,756,1289,id2612636,0.0046,493.5533797986503,17.5304,999999,990,1419,16.181390952,21,0
64,id3677668,2016-01-01 00:13:15,2016-01-01 00:21:12,477,390519635,42437436,0,3686,778,614,id3677668,0.0046,235.2688456566447,8.3534,999999,210,628,7.858415268,20,0
65,id3388812,2016-01-01 00:13:19,2016-01-01 00:23:31,612,42440951,42429693,0,2197,782,366,id3388812,0.0046,140.22530677566164,4.9791,999999,65,366,4.9791,1,0
66,id3205616,2016-01-01 00:13:22,2016-01-01 00:38:42,1520,42437613,42443346,0,7857,785,1309,id3205616,0.0046,501.4670476640797,17.8069,999999,1169,1373,15.859205604,32,1
67,id0121081,2016-01-01 00:13:23,2016-01-01 00:23:27,604,42439440,42454006,0,1984,786,330,id0121081,0.0046,126.69677970802326,4.494,999999,67,330,4.494,1,0
68,id0986197,2016-01-01 00:13:28,2016-01-01 00:33:52,1224,42435272,42435477,0,7136,791,1189,id0986197,0.0046,455.4342400586803,16.1734,999999,334,1238,14.954349875999998,20,1
69,id1659866,2016-01-01 00:13:38,2016-01-01 00:23:25,587,42436793,42436947,0,2323,801,387,id1659866,0.0046,148.26612987556211,5.2647,999999,359,424,4.854190019999999,20,1
70,id3828931,2016-01-01 00:13:42,2016-01-01 00:30:45,1023,1773084407,42435642,0,3620,805,603,id3828931,0.0046,231.0569859376492,8.2038,999999,1169,653,7.593800556,32,2
71,id2050754,2016-01-01 00:13:59,2016-01-01 00:24:50,651,42442567,42427891,0,3778,822,629,id2050754,0.0046,241.18278479708178,8.5604,999999,1569,629,7.577582783999999,42,3
72,id1943538,2016-01-01 00:14:09,2016-01-01 00:42:07,1678,42439840,6207264908,0,4253,832,708,id1943538,0.0046,271.5168425407708,9.6363,999999,1738,827,9.076660835999999,50,3
73,id0535590,2016-01-01 00:14:13,2016-01-01 00:42:11,1678,42430378,42445603,0,6093,836,1015,id0535590,0.0046,388.89552426547374,13.808499999999999,999999,1702,1199,12.829838555999999,42,0
74,id3205136,2016-01-01 00:14:24,2016-01-01 00:38:09,1425,42431154,42446934,0,3340,847,556,id3205136,0.0046,213.23135211647545,7.5676,999999,939,666,7.553181803999999,21,0
75,id2314185,2016-01-01 00:14:32,2016-01-01 00:27:32,780,42439849,42443329,0,4435,855,739,id2314185,0.0046,283.0456408834169,10.0519,999999,75,739,10.0519,1,0
76,id0614081,2016-01-01 00:14:46,2016-01-01 00:29:15,869,42423885,42446632,0,6224,869,1037,id0614081,0.0046,397.2339966689248,14.106200000000001,999999,1205,1292,13.619317392,30,0
77,id1071006,2016-01-01 00:14:50,2016-01-01 00:21:49,419,42446270,42430277,0,1090,873,181,id1071006,0.0046,69.64522533253921,2.4676,999999,77,181,2.4676,1,0
78,id3754001,2016-01-01 00:15:03,2016-01-01 00:28:27,804,42440153,42440326,0,2813,886,468,id3754001,0.0046,179.6217213990516,6.3723,999999,1702,497,5.738204339999999,42,1
79,id3280273,2016-01-01 00:15:06,2016-01-01 00:30:26,920,42446353,42446488,0,964,889,160,id3280273,0.0046,61.60440223263878,2.182,999999,79,160,2.182,1,0
80,id3847265,2016-01-01 00:15:06,2016-01-01 00:26:10,664,42428723,2141026538,0,3058,889,509,id3847265,0.0046,195.23522422622213,6.9284,999999,331,580,6.531250104,20,0
81,id2139933,2016-01-01 00:15:12,2016-01-01 00:16:43,91,42446021,42429324,0,577,895,96,id2139933,0.0046,36.84329549122752,1.3071000000000002,999999,81,96,1.3071000000000002,1,0
82,id1632188,2016-01-01 00:15:23,2016-01-01 00:18:07,164,42445020,42445020,0,0,906,0,id1632188,0.0046,0.0,0.0,999999,82,0,0.0,1,0
83,id1008975,2016-01-01 00:15:32,2016-01-01 00:42:05,1593,4597668032,42429215,0,15540,915,2590,id1008975,0.0046,991.7015156543868,35.224,999999,1634,2864,33.219640752,41,0
84,id1852789,2016-01-01 00:15:35,2016-01-01 00:27:38,723,247120348,42439830,0,4160,918,693,id1852789,0.0046,265.51765636579387,9.4278,999999,448,787,9.087225744,20,0
85,id1210692,2016-01-01 00:15:45,2016-01-01 00:27:36,711,42439272,42430277,0,1011,928,168,id1210692,0.0046,64.58232590282293,2.2893,999999,85,168,2.2893,1,0
86,id0846731,2016-01-01 00:15:47,2016-01-01 00:24:02,495,42429666,427840965,0,1908,930,318,id0846731,0.0046,121.761035512778,4.3248,999999,86,318,4.3248,1,0
87,id3160933,2016-01-01 00:16:09,2016-01-01 00:36:17,1208,42442881,42437918,0,8749,952,1458,id3160933,0.0046,558.3481079704842,19.8303,999999,1738,1604,18.997055195999998,50,2
88,id3621631,2016-01-01 00:16:13,2016-01-01 00:29:34,801,42439286,42452630,0,5284,956,880,id3621631,0.0046,337.28976565779647,11.974,999999,1205,1102,11.560725863999998,30,1
89,id0633946,2016-01-01 00:16:20,2016-01-01 00:35:29,1149,42452973,42444424,0,5652,963,942,id0633946,0.0046,360.68835048124794,12.8112,999999,1702,1143,12.171473843999998,42,2
90,id1320937,2016-01-01 00:16:33,2016-01-01 00:35:08,1115,42440397,42429029,0,9388,976,1564,id1320937,0.0046,599.1908609116963,21.276400000000002,999999,1634,1756,20.921714496,41,2
91,id1378987,2016-01-01 00:16:45,2016-01-01 00:46:57,1812,42430282,42428926,0,10075,988,1679,id1378987,0.0046,642.9681986884841,22.835900000000002,999999,1738,2134,22.516701923999996,50,4
92,id0874252,2016-01-01 00:17:00,2016-01-01 00:24:58,478,42439836,1773084402,0,2356,1003,392,id0874252,0.0046,150.436352669634,5.337199999999999,999999,1401,415,5.13958188,32,2
93,id3700650,2016-01-01 00:17:04,2016-01-01 00:25:17,493,42436510,42440452,0,807,1007,134,id3700650,0.0046,51.563850407746045,1.8268999999999997,999999,93,134,1.8268999999999997,1,0
94,id3851045,2016-01-01 00:17:04,2016-01-01 00:27:47,643,42440452,42436549,0,4237,1007,706,id3851045,0.0046,270.41006172643057,9.6031,999999,756,776,8.814397751999998,21,0
95,id2905168,2016-01-01 00:17:15,2016-01-01 00:38:57,1302,42455693,42444909,0,5346,1018,891,id2905168,0.0046,341.16063723863266,12.1176,999999,1033,920,11.757795263999999,32,0
96,id0615830,2016-01-01 00:17:22,2016-01-01 00:35:45,1103,42450426,42446488,0,1122,1025,187,id0615830,0.0046,71.60161522292292,2.5432,999999,96,187,2.5432,1,0
97,id1126109,2016-01-01 00:17:45,2016-01-01 00:30:17,752,42430060,561042190,0,3466,1048,577,id1126109,0.0046,221.27217521637596,7.853199999999999,999999,97,577,7.853199999999999,1,0
98,id3228429,2016-01-01 00:17:50,2016-01-01 00:24:22,392,3099327937,42430488,0,2415,1053,402,id3228429,0.0046,154.18006901599924,5.4717,999999,98,402,5.4717,1,0
